"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"TCF4"	8.66978659725591e-17	-32.5547666181998	0.574	0.658	3.17322859246164e-12	"0"	"TCF4"
"BRAF"	1.02904407934087e-16	-16.6793417956188	0.462	0.589	3.76640423479551e-12	"0"	"BRAF"
"EXOC6"	1.0547364752448e-16	-9.90073794450997	0.191	0.342	3.86044097304351e-12	"0"	"EXOC6"
"DGKB"	1.11683778865815e-16	-21.6773267016588	0.02	0.129	4.08773799026769e-12	"0"	"DGKB"
"ERBIN"	1.40180847163321e-16	-8.07447987946652	0.009	0.108	5.13075918702473e-12	"0"	"ERBIN"
"ROBO2"	1.44433104113701e-16	-89.2109025335287	0.19	0.336	5.28639604366556e-12	"0"	"ROBO2"
"FAM172A"	1.47633049998369e-16	-15.1846354605285	0.294	0.446	5.4035172629903e-12	"0"	"FAM172A"
"MT-ND4L"	1.56768337747689e-16	-0.570427234314607	0.016	0.121	5.73787792990318e-12	"0"	"MT-ND4L"
"GRIA4"	1.58325957679178e-16	-120.100639562955	0.609	0.697	5.79488837701561e-12	"0"	"GRIA4"
"DCC"	2.85419610117287e-16	-732.759289825328	0.025	0.133	1.04466431499028e-11	"0"	"DCC"
"RFX3"	3.70325068862629e-16	-34.8965829456728	0.332	0.481	1.35542678454411e-11	"0"	"RFX3"
"RAPGEF5"	6.59658804345683e-16	-9.65934598841979	0.167	0.31	2.41441718978563e-11	"0"	"RAPGEF5"
"BABAM2"	6.62509571350252e-16	-21.9898887737085	0.187	0.332	2.42485128209906e-11	"0"	"BABAM2"
"NSMCE2"	7.67530335241118e-16	-13.8968942200151	0.184	0.333	2.80923778001601e-11	"0"	"NSMCE2"
"CPE"	7.98084713560955e-16	-1.33815883353371	0.374	0.504	2.92106986010445e-11	"0"	"CPE"
"HDAC9"	8.92028778560536e-16	-34.8662193660477	0.107	0.244	3.26491453240942e-11	"0"	"HDAC9"
"AKT3"	9.17766012116935e-16	-61.8287148501611	0.639	0.705	3.35911538094919e-11	"0"	"AKT3"
"RNF220"	9.38178842317787e-16	-105.257255264439	0.033	0.143	3.43382838076733e-11	"0"	"RNF220"
"FTX"	9.43913229400222e-16	-117.079127941116	0.767	0.801	3.45481681092775e-11	"0"	"FTX"
"PUM2"	9.84786537881935e-16	-39.3204933223208	0.38	0.517	3.60441720730167e-11	"0"	"PUM2"
"PHF14"	1.05004933226318e-15	-37.2192254698276	0.272	0.416	3.84328556101647e-11	"0"	"PHF14"
"MAP2"	1.35390120239573e-15	-59.5718115382218	0.414	0.543	4.9554137908886e-11	"0"	"MAP2"
"MSI2"	1.44967391215929e-15	-70.6423788346965	0.429	0.551	5.30595148589421e-11	"0"	"MSI2"
"MAPK10"	1.69399524425134e-15	-61.4626311310459	0.354	0.492	6.20019199348433e-11	"0"	"MAPK10"
"GSK3B"	1.69897738933911e-15	-51.5943668658699	0.329	0.472	6.21842714272006e-11	"0"	"GSK3B"
"ZCCHC7"	1.76980508602787e-15	-26.1509053005833	0.272	0.413	6.47766359537061e-11	"0"	"ZCCHC7"
"COP1"	1.84878234454824e-15	-24.2496250452933	0.313	0.456	6.766728259281e-11	"0"	"COP1"
"PCCA"	2.35038790995846e-15	-19.5581123627874	0.452	0.575	8.60265478923897e-11	"0"	"PCCA"
"FMNL2"	2.67128499873994e-15	-36.404479715891	0.399	0.521	9.77717022388804e-11	"0"	"FMNL2"
"BAZ2B"	2.83398414087298e-15	-33.6785413492939	0.497	0.597	1.03726653540092e-10	"0"	"BAZ2B"
"VPS13B"	3.28931748123963e-15	-17.3817765374236	0.362	0.504	1.20392309130852e-10	"0"	"VPS13B"
"PDS5B"	3.59774697826222e-15	-46.4269586721491	0.22	0.366	1.31681137151375e-10	"0"	"PDS5B"
"NCOA2"	3.73035213312604e-15	-10.7853374925278	0.229	0.376	1.36534618424546e-10	"0"	"NCOA2"
"SRGAP1"	4.26252988571118e-15	-27.3670537608246	0.02	0.119	1.56012856346915e-10	"0"	"SRGAP1"
"PCDH9"	5.17126115347827e-15	-312.332068924872	0.31	0.443	1.89273329478458e-10	"0"	"PCDH9"
"KLF7"	5.50499254852599e-15	-47.2424701504275	0.12	0.253	2.014882322686e-10	"0"	"KLF7"
"DTNA"	5.52663937145323e-15	-172.320844217674	0.509	0.603	2.0228052763456e-10	"0"	"DTNA"
"SNCA"	5.5538867182919e-15	-13.3042915534584	0.191	0.332	2.03277807776202e-10	"0"	"SNCA"
"PPP3CA"	5.5760231395715e-15	-20.2917670120858	0.567	0.646	2.04088022931457e-10	"0"	"PPP3CA"
"STAU2"	6.05080019562254e-15	-5.6030818208457	0.335	0.467	2.21465337959981e-10	"0"	"STAU2"
"PHF21A"	6.38671645191354e-15	-16.4083063885443	0.255	0.396	2.33760208856488e-10	"0"	"PHF21A"
"GRID1"	7.18389116289043e-15	-31.6516174799127	0.012	0.103	2.62937600452953e-10	"0"	"GRID1"
"TMCC1"	7.76016511963864e-15	-15.6688488254903	0.314	0.454	2.84029803543894e-10	"0"	"TMCC1"
"HSP90AA1"	9.09683299502828e-15	-60.0149360030437	0.17	0.307	3.3295318445103e-10	"0"	"HSP90AA1"
"CAMK2D"	9.71169639146692e-15	-21.0100566474723	0.423	0.538	3.55457799624081e-10	"0"	"CAMK2D"
"RAPGEF2"	1.0614218420326e-14	-23.2284255506347	0.199	0.343	3.88491008402352e-10	"0"	"RAPGEF2"
"UST"	1.0796989376725e-14	-14.9588679393421	0.046	0.159	3.9518060817751e-10	"0"	"UST"
"PTMA"	1.49079935097277e-14	-2.21784248484482	0.067	0.185	5.45647470449544e-10	"0"	"PTMA"
"HS2ST1"	1.64517203649102e-14	-399.772502483283	0.136	0.269	6.0214941707608e-10	"0"	"HS2ST1"
"MMP16"	1.82425831642028e-14	-30.9176150247322	0.157	0.291	6.67696786392988e-10	"0"	"MMP16"
"PDE4D"	2.05681844217587e-14	-91.1887892909386	0.136	0.263	7.52816118020788e-10	"0"	"PDE4D"
"HBA2"	2.68447868466679e-14	-5.51716166444462	0.022	0.117	9.8254604337489e-10	"0"	"HBA2"
"ZNF704"	2.78297684333967e-14	-83.8634413868744	0.338	0.459	1.01859735443075e-09	"0"	"ZNF704"
"ABI2"	2.96603915157954e-14	-20.3846087161128	0.235	0.376	1.08559998986963e-09	"0"	"ABI2"
"PBX1"	3.56824836633483e-14	-14.6873691578387	0.265	0.403	1.30601458456221e-09	"0"	"PBX1"
"MARCH1"	3.9761625352745e-14	-130.206740439618	0.12	0.243	1.45531524953582e-09	"0"	"MARCH1"
"SNTG1"	4.28092950715373e-14	-185.233181886009	0.032	0.133	1.56686300891334e-09	"0"	"SNTG1"
"CCDC91"	4.51638983941442e-14	-53.3568626224279	0.206	0.339	1.65304384512407e-09	"0"	"CCDC91"
"ATP8A1"	5.85327312682554e-14	-38.3856533986823	0.152	0.283	2.14235649714942e-09	"0"	"ATP8A1"
"SIPA1L1"	6.44734033338095e-14	-29.823030636911	0.345	0.468	2.35979103542076e-09	"0"	"SIPA1L1"
"AUH"	7.3995145686316e-14	-8.73811524666239	0.229	0.371	2.70829632726485e-09	"0"	"AUH"
"KCND2"	7.46652198230665e-14	-174.093846567976	0.817	0.805	2.73282171074406e-09	"0"	"KCND2"
"VTI1A"	7.95240940831795e-14	-16.2883398003652	0.257	0.395	2.91066136753845e-09	"0"	"VTI1A"
"STAG1"	8.79250719758356e-14	-31.8428985881394	0.609	0.675	3.21814555938756e-09	"0"	"STAG1"
"LRRC4C"	8.94982903818748e-14	-121.492783267733	0.451	0.537	3.275726926267e-09	"0"	"LRRC4C"
"TMEFF2"	9.25519569637393e-14	-17.7964572894416	0.123	0.246	3.38749417682982e-09	"0"	"TMEFF2"
"SUPT3H"	1.09378409654651e-13	-17.4182800244031	0.33	0.459	4.0033591717699e-09	"0"	"SUPT3H"
"N4BP2L2"	1.14146552499162e-13	-33.1084083566228	0.433	0.541	4.17787796802182e-09	"0"	"N4BP2L2"
"MBNL1"	1.16198774741953e-13	-66.9265014542634	0.188	0.319	4.25299135433021e-09	"0"	"MBNL1"
"ZFAND3"	1.19510344116622e-13	-47.7796656865785	0.499	0.597	4.37419810501247e-09	"0"	"ZFAND3"
"CDKAL1"	1.21887573671071e-13	-58.2799278510938	0.323	0.455	4.46120708393486e-09	"0"	"CDKAL1"
"MLLT10"	1.30022923160145e-13	-49.4966257612988	0.364	0.485	4.75896901058447e-09	"0"	"MLLT10"
"PDE4B"	1.32069151793684e-13	-41.6410752107144	0.345	0.468	4.83386302480062e-09	"0"	"PDE4B"
"PIP4K2A"	1.34332191915866e-13	-23.1725521504286	0.032	0.13	4.91669255631259e-09	"0"	"PIP4K2A"
"PPFIA2"	1.53675584899476e-13	-31.1045428088474	0.28	0.415	5.62468008290574e-09	"0"	"PPFIA2"
"ARHGAP26"	1.72590257498372e-13	-13.8071163634324	0.354	0.476	6.31697601469791e-09	"0"	"ARHGAP26"
"QKI"	1.77048955321087e-13	-84.4898204168558	0.113	0.232	6.4801688137071e-09	"0"	"QKI"
"ANK2"	1.7742538720209e-13	-149.385894887284	0.642	0.708	6.49394659698369e-09	"0"	"ANK2"
"FMN2"	1.92249511991711e-13	-47.4514750450862	0.303	0.43	7.03652438840863e-09	"0"	"FMN2"
"RERE"	2.16780726238879e-13	-39.4184819255254	0.636	0.703	7.93439136106922e-09	"0"	"RERE"
"REPS2"	2.39692384982656e-13	-2.47920358459086	0.149	0.276	8.77298098275017e-09	"0"	"REPS2"
"APP"	2.40837778946439e-13	-77.2964858439852	0.281	0.411	8.8149035472186e-09	"0"	"APP"
"SLC44A1"	2.45890910208077e-13	-55.5657885317108	0.157	0.286	8.99985320452583e-09	"0"	"SLC44A1"
