"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"DLG1"	3.82071354951101e-39	-28.6890742032557	0.55	0.732	1.39841936625652e-34	"0"	"DLG1"
"ARID1B"	4.56493272780234e-39	-26.8360688567583	0.655	0.804	1.67081102770293e-34	"0"	"ARID1B"
"CPE"	5.85182099564852e-39	-19.1621473617084	0.402	0.612	2.14182500261731e-34	"0"	"CPE"
"LUC7L2"	7.95679750314465e-39	-11.851876801565	0.263	0.518	2.91226745412597e-34	"0"	"LUC7L2"
"RABGAP1L"	1.18275009566964e-38	-27.9165602110858	0.827	0.876	4.32898362516046e-34	"0"	"RABGAP1L"
"MAPK10"	1.63296555254847e-38	-61.9536867127128	0.374	0.603	5.97681721888267e-34	"0"	"MAPK10"
"ZSWIM6"	5.6513054192326e-38	-24.5093516411491	0.222	0.459	2.06843429649333e-33	"0"	"ZSWIM6"
"NRG1"	7.43327276779767e-38	-90.2795984894784	0.354	0.567	2.72065216574163e-33	"0"	"NRG1"
"PCCA"	7.84550636019418e-38	-24.0718847535037	0.49	0.697	2.87153378289467e-33	"0"	"PCCA"
"PUM2"	1.44363933158206e-37	-39.8453718934512	0.411	0.633	5.28386431752349e-33	"0"	"PUM2"
"ERC1"	1.89314024847384e-37	-116.082498186967	0.851	0.886	6.9290826234391e-33	"0"	"ERC1"
"FMNL2"	3.11616183118828e-37	-38.0840258968075	0.432	0.64	1.14054639183322e-32	"0"	"FMNL2"
"RFX3"	3.99005877312178e-37	-33.9717968737687	0.355	0.591	1.4604014115503e-32	"0"	"RFX3"
"ELMO1"	7.26557913074302e-37	-62.0686987217189	0.121	0.353	2.65927461764325e-32	"0"	"ELMO1"
"GPHN"	1.18493945950644e-36	-27.1566144518832	0.76	0.844	4.3369969157395e-32	"0"	"GPHN"
"GRIK2"	1.34320488681896e-36	-119.683191112823	0.891	0.884	4.91626420624606e-32	"0"	"GRIK2"
"PLCB1"	1.54462702509489e-36	-53.3003269802618	0.529	0.694	5.6534893745498e-32	"0"	"PLCB1"
"RALYL"	1.58885170724926e-36	-161.502035027413	0.879	0.872	5.81535613370303e-32	"0"	"RALYL"
"CCSER1"	1.80056086611595e-36	-316.962952499432	0.598	0.746	6.59023282607098e-32	"0"	"CCSER1"
"MAP2"	4.83214395946469e-36	-60.2715600045477	0.457	0.659	1.76861301060367e-31	"0"	"MAP2"
"CAMK2D"	9.70616366790593e-36	-21.5595120565968	0.458	0.654	3.55255296409025e-31	"0"	"CAMK2D"
"ZNF536"	1.08078029422583e-35	-27.8263995698306	0.425	0.633	3.95576395489595e-31	"0"	"ZNF536"
"CAMTA1"	1.72972305429617e-35	-34.7215184688832	0.642	0.781	6.3309593510294e-31	"0"	"CAMTA1"
"SRPK2"	2.18495581213986e-35	-103.442043953319	0.402	0.609	7.99715676801309e-31	"0"	"SRPK2"
