"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"XKR4.1"	2.32216851732895e-08	-43.4886904889339	0.391	0.27	0.000849936899027571	"3"	"XKR4"
"RMND1.2"	2.33308985342668e-08	0.747270583886725	0.173	0.087	0.000853934217252699	"3"	"RMND1"
"CRTAM.1"	2.4083128024323e-08	-2.55527485648733	0.398	0.265	0.000881466568818247	"3"	"CRTAM"
"LINC00862"	2.43997404130221e-08	0.884403311209887	0.204	0.111	0.000893054898857022	"3"	"LINC00862"
"AL390198.1"	2.44438933397675e-08	0.36862180173099	0.116	0.048	0.00089467094012883	"3"	"AL390198.1"
"MOB3B.1"	2.51509494333079e-08	2.66343753155578	0.329	0.217	0.000920549900208501	"3"	"MOB3B"
"LUC7L.2"	2.52128877797557e-08	-1.90281795941345	0.652	0.511	0.000922816905626837	"3"	"LUC7L"
"RO60.2"	2.56368928219616e-08	1.06483353080122	0.268	0.162	0.000938335914176616	"3"	"RO60"
"GFPT2"	2.57892581803288e-08	0.283459575894728	0.213	0.116	0.000943912638658216	"3"	"GFPT2"
"ZCCHC2.1"	2.62965932615988e-08	0.627422449422261	0.209	0.113	0.000962481609967776	"3"	"ZCCHC2"
"ZNF652.2"	2.66732334347158e-08	1.29700470654375	0.415	0.287	0.000976267016944034	"3"	"ZNF652"
"XPO1.2"	2.67623875343829e-08	-37.0923822638524	0.543	0.392	0.00097953014614595	"3"	"XPO1"
"POLR3F.1"	2.67864077349615e-08	0.411735870562741	0.242	0.138	0.000980409309507327	"3"	"POLR3F"
"ANGEL2.2"	2.70333483956781e-08	-0.345610151194469	0.261	0.154	0.000989447584630216	"3"	"ANGEL2"
"ZNF84.3"	2.70342209653527e-08	0.664441180726899	0.273	0.165	0.000989479521552874	"3"	"ZNF84"
"VTA1.1"	2.71294431579946e-08	1.49750806747864	0.199	0.106	0.000992964749025759	"3"	"VTA1"
"GRK4.1"	2.76311558370595e-08	1.12985744098305	0.427	0.299	0.00101132793479222	"3"	"GRK4"
"MED17.2"	2.7802456253082e-08	-1.75428405654023	0.287	0.175	0.00101759770131905	"3"	"MED17"
"BARHL2"	2.78050148168304e-08	0.373478062853397	0.187	0.097	0.00101769134731081	"3"	"BARHL2"
"ALG5.1"	2.79309701790755e-08	1.18671105237258	0.201	0.109	0.00102230143952434	"3"	"ALG5"
"INPP5B.2"	2.79806769158227e-08	0.889492213236637	0.498	0.378	0.00102412075579603	"3"	"INPP5B"
"MTERF4.1"	2.80200518757427e-08	1.08397806219483	0.396	0.272	0.00102556191870406	"3"	"MTERF4"
"DICER1.2"	2.84503420011234e-08	1.91452470285032	0.495	0.369	0.00104131096758312	"3"	"DICER1"
"CDC23"	2.85398675677054e-08	0.253917697805552	0.135	0.06	0.00104458769284559	"3"	"CDC23"
"MRPS31.1"	2.86567494999613e-08	0.947536103775102	0.263	0.158	0.00104886568844808	"3"	"MRPS31"
"CSDE1.1"	2.87338753978122e-08	-1.40440298004668	0.389	0.272	0.00105168857343533	"3"	"CSDE1"
"SGMS1.2"	2.89144540951157e-08	-2.66409854637863	0.424	0.295	0.00105829793433533	"3"	"SGMS1"
"COG3.2"	2.89155195995662e-08	0.492934810000907	0.303	0.189	0.00105833693286372	"3"	"COG3"
"NAA16.1"	2.92717491504225e-08	-2.05109598995019	0.448	0.33	0.00107137529065461	"3"	"NAA16"
"TTC28-AS1.2"	2.98311480458193e-08	0.547517811374468	0.353	0.232	0.00109184984962503	"3"	"TTC28-AS1"
"ZNF595"	3.01925345840607e-08	0.392264391259573	0.204	0.111	0.00110507695831121	"3"	"ZNF595"
"MALT1.1"	3.03416864187698e-08	-4.31442648112059	0.299	0.189	0.00111053606461339	"3"	"MALT1"
"TMEM167A"	3.05019181522874e-08	0.325781037698941	0.1	0.039	0.00111640070629187	"3"	"TMEM167A"
"FRMD4A.3"	3.05455803677319e-08	-749.740020356077	0.064	0.163	0.00111799878703935	"3"	"FRMD4A"
"LRRC41.1"	3.09211811681943e-08	0.481133062511609	0.28	0.17	0.00113174615193708	"3"	"LRRC41"
"ZFHX2-AS1.1"	3.09535345416602e-08	0.368460289376018	0.346	0.22	0.00113293031775931	"3"	"ZFHX2-AS1"
"NUFIP2.2"	3.15607777910503e-08	-5.48859094768632	0.358	0.246	0.00115515602793023	"3"	"NUFIP2"
"AP3M1.1"	3.18679079549727e-08	0.496811265082319	0.192	0.101	0.00116639729905996	"3"	"AP3M1"
"GTF2H1.1"	3.25741937351196e-08	0.471860501494485	0.329	0.215	0.00119224806489911	"3"	"GTF2H1"
"ISCA1"	3.26070044327565e-08	0.362583473623582	0.154	0.073	0.00119344896924332	"3"	"ISCA1"
"NCOA6.3"	3.28524909502654e-08	-2.17889877740213	0.528	0.39	0.00120243402127066	"3"	"NCOA6"
"METTL15.2"	3.3303665294001e-08	-10.3584493380715	0.308	0.196	0.00121894745342573	"3"	"METTL15"
"AC011603.2"	3.35552741421321e-08	0.478191952914909	0.481	0.355	0.00122815658887618	"3"	"AC011603.2"
"DZIP1.2"	3.40832884357461e-08	-6.97755736114782	0.386	0.256	0.00124748244003674	"3"	"DZIP1"
"BASP1-AS1"	3.40866027763185e-08	9.17063832612226	0.204	0.113	0.00124760374821603	"3"	"BASP1-AS1"
"SNTG2.1"	3.40929942444961e-08	-11.0733209309049	0.367	0.245	0.0012478376823428	"3"	"SNTG2"
"SGK3.3"	3.43057179537825e-08	-0.816041155881859	0.431	0.296	0.00125562358282639	"3"	"SGK3"
"LMTK2.1"	3.4317957693141e-08	-5.46131971860869	0.313	0.195	0.00125607156952665	"3"	"LMTK2"
"ITPRID2.2"	3.47586561218348e-08	-4.30284284946648	0.408	0.28	0.00127220157271528	"3"	"ITPRID2"
"EPHA1-AS1.1"	3.52274988392522e-08	3.04103089736303	0.166	0.083	0.00128936168501547	"3"	"EPHA1-AS1"
"VPS26B"	3.54140293567651e-08	0.36832742036208	0.246	0.144	0.00129618888848696	"3"	"VPS26B"
"SUGT1.2"	3.55586004786395e-08	0.918219770027812	0.306	0.193	0.00130148033611868	"3"	"SUGT1"
"TDRD3.1"	3.55636405865761e-08	-0.590911561465495	0.355	0.243	0.00130166480910927	"3"	"TDRD3"
"CCSER2.2"	3.59122310595307e-08	-38.8178285390027	0.481	0.352	0.00131442356900988	"3"	"CCSER2"
"SLC24A2.3"	3.59219491381978e-08	-37.6435458159749	0.021	0.105	0.00131477926040718	"3"	"SLC24A2"
"RBCK1"	3.6105557560374e-08	0.341160274931099	0.273	0.161	0.00132149951226725	"3"	"RBCK1"
"NUP54.1"	3.62042317147325e-08	-1.26025013429779	0.332	0.211	0.00132511108499092	"3"	"NUP54"
"CASC15.2"	3.67190576614874e-08	-194.862260632665	0.026	0.111	0.0013439542294681	"3"	"CASC15"
"ZNF566.1"	3.6930203002318e-08	0.405072861713189	0.261	0.157	0.00135168236008784	"3"	"ZNF566"
"MORN1.1"	3.7233255473991e-08	0.360345820432649	0.308	0.195	0.00136277438360354	"3"	"MORN1"
"APP.2"	3.72441972305818e-08	-71.2080509884288	0.559	0.429	0.00136317486283653	"3"	"APP"
"LRP1.2"	3.76201178180318e-08	0.790586156076574	0.581	0.432	0.00137693393225778	"3"	"LRP1"
"PPP2R5C.1"	3.82678245194435e-08	-2.71210931246154	0.502	0.374	0.00140064064523615	"3"	"PPP2R5C"
"NAV1.3"	3.93921198688813e-08	-21.7118346197862	0.024	0.108	0.00144179097932093	"3"	"NAV1"
"GPD2.2"	3.9727354539332e-08	-0.418494895296069	0.242	0.141	0.00145406090349409	"3"	"GPD2"
"RAB5B.1"	3.98583851298231e-08	0.310188531436329	0.251	0.146	0.00145885675413666	"3"	"RAB5B"
"FAM120A.2"	4.0733735602063e-08	-1.34139494566004	0.389	0.263	0.00149089545677111	"3"	"FAM120A"
"MRLN"	4.18385031107414e-08	0.293976285661249	0.156	0.076	0.00153133105235625	"3"	"MRLN"
"FAM13B.1"	4.19127034850831e-08	-2.5463315798759	0.472	0.346	0.00153404686025753	"3"	"FAM13B"
"SPEN.2"	4.25953444005195e-08	-0.893220623276879	0.514	0.394	0.00155903220040341	"3"	"SPEN"
"HACE1.2"	4.33384172386833e-08	0.540166861488503	0.384	0.263	0.00158622940935305	"3"	"HACE1"
"NDUFV2.1"	4.33707164554331e-08	-1.45689278175965	0.223	0.124	0.00158741159298531	"3"	"NDUFV2"
"AZI2"	4.34783353776687e-08	0.424328874436115	0.216	0.119	0.00159135055315805	"3"	"AZI2"
"MPP7.1"	4.4722756622784e-08	1.43289131654928	0.339	0.222	0.00163689761515052	"3"	"MPP7"
"VPS36.2"	4.50388739446606e-08	0.556857959548024	0.374	0.253	0.00164846782524852	"3"	"VPS36"
"ZNF875.1"	4.53544393835195e-08	0.889071498146335	0.28	0.17	0.0016600178358762	"3"	"ZNF875"
"LSM8.2"	4.53719251878871e-08	0.350067158538167	0.209	0.114	0.00166065783380186	"3"	"LSM8"
"RABGEF1.2"	4.65771200128664e-08	-1.05548356065615	0.602	0.486	0.00170476916959092	"3"	"RABGEF1"
"NFATC3.2"	4.66674089896009e-08	-24.2596940532702	0.431	0.309	0.00170807383642838	"3"	"NFATC3"
"HIBADH.2"	4.72517803573592e-08	-12.9318456392942	0.299	0.19	0.0017294624128597	"3"	"HIBADH"
"RGS7BP.2"	4.76353290156667e-08	-0.281517144947371	0.185	0.096	0.00174350067730242	"3"	"RGS7BP"
"CLPX.1"	4.77631291783377e-08	-1.80956757211315	0.28	0.174	0.00174817829105634	"3"	"CLPX"
"AC006213.3"	4.83398472813798e-08	2.89572399702854	0.121	0.052	0.00176928675034578	"3"	"AC006213.3"
"GNA13.1"	4.91640372749899e-08	0.579118465709814	0.284	0.177	0.00179945292830191	"3"	"GNA13"
"WWP1.2"	4.9571766219359e-08	-16.33700414173	0.336	0.217	0.00181437621539476	"3"	"WWP1"
"SRP54.2"	4.96833320814232e-08	0.569517738262919	0.31	0.199	0.00181845963751217	"3"	"SRP54"
"CNOT10.1"	5.03701752097899e-08	0.465921269587426	0.341	0.218	0.00184359878285352	"3"	"CNOT10"
"APC.2"	5.06897567116808e-08	-6.56783995578581	0.457	0.336	0.00185529578540423	"3"	"APC"
"MDM2.2"	5.10105778875431e-08	0.748996724389206	0.344	0.23	0.00186703816126197	"3"	"MDM2"
"TUBGCP4"	5.49745960383581e-08	0.344910104130286	0.187	0.099	0.00201212518959994	"3"	"TUBGCP4"
"SPTAN1.2"	5.54032205447054e-08	0.810876842975409	0.652	0.543	0.00202781327515676	"3"	"SPTAN1"
"TMEM50B.1"	5.58143042517654e-08	0.37603094576199	0.327	0.213	0.00204285934991886	"3"	"TMEM50B"
"KLHL18.2"	5.65137411591006e-08	-0.864299854200554	0.284	0.179	0.00206845944016424	"3"	"KLHL18"
"SMU1.2"	5.77792386969849e-08	0.4830559985878	0.277	0.169	0.00211477791554834	"3"	"SMU1"
"RPS6KB1.2"	5.77950096342118e-08	0.933608980316964	0.372	0.257	0.00211535514762179	"3"	"RPS6KB1"
"AKNAD1.1"	5.79826950934636e-08	-0.605228363605175	0.19	0.1	0.00212222462311586	"3"	"AKNAD1"
"LINC01811"	5.80155188081045e-08	4.03750136787173	0.173	0.09	0.00212342600389543	"3"	"LINC01811"
"WAPL.2"	5.83624052282387e-08	-0.556782568452163	0.4	0.284	0.00213612239375877	"3"	"WAPL"
"PROX1-AS1.1"	5.94839956184028e-08	1.77126298118286	0.168	0.086	0.00217717372362916	"3"	"PROX1-AS1"
"ST3GAL3.1"	5.98262875055779e-08	-1.34318913578367	0.46	0.338	0.00218970194899166	"3"	"ST3GAL3"
"TMEM120B.1"	6.02495902497178e-08	1.07983218656206	0.509	0.386	0.00220519525272992	"3"	"TMEM120B"
"POM121.2"	6.09799415825614e-08	0.459432637914587	0.367	0.246	0.00223192684186333	"3"	"POM121"
"ODR4.1"	6.25648835957263e-08	-0.817723804556063	0.322	0.211	0.00228993730448718	"3"	"ODR4"
"SYNGR1.1"	6.35802843585e-08	0.883876041204646	0.462	0.337	0.00232710198780546	"3"	"SYNGR1"
"TFB1M.1"	6.37999294748153e-08	0.486023692421615	0.166	0.085	0.00233514121870772	"3"	"TFB1M"
"ZNF621.1"	6.38667906145376e-08	0.324425645322311	0.23	0.131	0.00233758840328269	"3"	"ZNF621"
"H2AFV.3"	6.38774283372322e-08	0.716336973565452	0.273	0.165	0.00233797775457104	"3"	"H2AFV"
"TM2D3"	6.47058655206576e-08	0.405773527336954	0.251	0.147	0.00236829938392159	"3"	"TM2D3"
"CLK1.2"	6.49175149758701e-08	-0.853039418226297	0.412	0.284	0.00237604596563182	"3"	"CLK1"
"MOB4.1"	6.49903769377397e-08	-37.9535580441338	0.263	0.159	0.00237871278629821	"3"	"MOB4"
"MINPP1"	6.50986312854855e-08	0.373159073827233	0.13	0.06	0.00238267500368005	"3"	"MINPP1"
"SCAP.2"	6.53386689181555e-08	0.655805863059165	0.291	0.185	0.00239146062107341	"3"	"SCAP"
"ACTR2.1"	6.565581643035e-08	1.06651806898643	0.334	0.218	0.00240306853716724	"3"	"ACTR2"
"NUP155.1"	6.59627796109016e-08	0.404035902199679	0.275	0.166	0.00241430369653861	"3"	"NUP155"
"FAM193B.1"	6.5971569295489e-08	-0.376336426148049	0.301	0.185	0.00241462540778419	"3"	"FAM193B"
"ZRANB1.1"	6.60307454442868e-08	0.338101946221163	0.327	0.212	0.00241679131400634	"3"	"ZRANB1"
"DNMT3A.1"	6.6475352091228e-08	0.392657843632911	0.526	0.401	0.00243306436189103	"3"	"DNMT3A"
"ZNF561"	6.68834137628883e-08	0.393145601675628	0.171	0.087	0.00244799982713547	"3"	"ZNF561"
"ARNT.2"	6.79405413449245e-08	-17.5217090258815	0.393	0.277	0.00248669175376558	"3"	"ARNT"
"C11orf58.1"	6.81958939468045e-08	-4.06343453528926	0.436	0.317	0.00249603791434699	"3"	"C11orf58"
"AL591519.1.1"	6.83699503088762e-08	-1.63802111331974	0.187	0.102	0.00250240855125518	"3"	"AL591519.1"
"DCBLD2.1"	6.86234968966706e-08	5.02070311587127	0.336	0.222	0.00251168860991504	"3"	"DCBLD2"
"USP53.1"	6.90998010768024e-08	-5.38977474713194	0.232	0.135	0.00252912181921205	"3"	"USP53"
"TMEM229B.1"	7.06397967848747e-08	0.289963579084782	0.37	0.25	0.0025854872021232	"3"	"TMEM229B"
"NSL1.2"	7.09518560046523e-08	-3.26913072657995	0.282	0.171	0.00259690888162628	"3"	"NSL1"
"AC092958.4"	7.21169012170469e-08	1.70098202120624	0.114	0.049	0.00263955070144513	"3"	"AC092958.4"
"TTC14.2"	7.31563802358579e-08	-0.358664222891603	0.348	0.234	0.00267759667301263	"3"	"TTC14"
"MTDH.1"	7.33868895216064e-08	-4.27956428168747	0.498	0.387	0.00268603354338032	"3"	"MTDH"
"CDS2.1"	7.42505050330631e-08	0.91601680621247	0.325	0.214	0.00271764273471514	"3"	"CDS2"
"MYSM1.1"	7.44391542320994e-08	0.379386204379061	0.348	0.23	0.00272454748404907	"3"	"MYSM1"
"MBIP"	7.5191999838365e-08	0.894334883523998	0.137	0.064	0.002752102386084	"3"	"MBIP"
"SLBP"	7.55979424020702e-08	0.346781522181327	0.166	0.083	0.00276696028985817	"3"	"SLBP"
"ACSL6.1"	7.58490318663967e-08	-3.34058557654519	0.325	0.207	0.00277615041534199	"3"	"ACSL6"
"CAMK1D.1"	7.61515176444745e-08	8.78550023771459	0.628	0.53	0.00278722169730541	"3"	"CAMK1D"
"KPNA1.1"	7.78467246438504e-08	-4.24645575881616	0.332	0.221	0.00284926796868957	"3"	"KPNA1"
"AC004540.1.1"	7.89344642309229e-08	2.03351914781793	0.225	0.128	0.00288908032531601	"3"	"AC004540.1"
"PIBF1.2"	7.8977744375034e-08	-26.317922467336	0.488	0.362	0.00289066442187062	"3"	"PIBF1"
"CD2AP"	7.90714680093121e-08	0.543173999174145	0.384	0.262	0.00289409480060883	"3"	"CD2AP"
"SCN1B.1"	7.92727291517262e-08	0.303438028911262	0.301	0.189	0.00290146115968233	"3"	"SCN1B"
"AC004828.2"	8.07058014940657e-08	-1.300831164702	0.13	0.059	0.0029539130404843	"3"	"AC004828.2"
"AC048341.1.2"	8.23746344250764e-08	-5.01985792031537	0.182	0.096	0.00301499399459222	"3"	"AC048341.1"
"TNFRSF21.1"	8.48319066170213e-08	-1.54570236350481	0.156	0.076	0.0031049326140896	"3"	"TNFRSF21"
"LRP6.2"	8.60661667527639e-08	-7.52743485893093	0.351	0.235	0.00315010776931791	"3"	"LRP6"
"PANK2.2"	8.81959827228124e-08	0.476055731744301	0.332	0.218	0.00322806116363766	"3"	"PANK2"
"NNT.1"	9.0187828780779e-08	4.13771886786267	0.344	0.233	0.00330096472120529	"3"	"NNT"
"SYN1.1"	9.04661153870711e-08	0.546769901465156	0.235	0.137	0.00331115028928219	"3"	"SYN1"
"FARS2.2"	9.07691508275801e-08	1.7925297414026	0.479	0.365	0.00332224168944026	"3"	"FARS2"
"AC074032.1.1"	9.39623228028862e-08	0.675949313591696	0.372	0.254	0.00343911497690844	"3"	"AC074032.1"
"RAB7A.2"	9.39849376557322e-08	-8.54538156852149	0.445	0.321	0.00343994270313745	"3"	"RAB7A"
"SCYL1"	9.41172581818678e-08	0.388804742802623	0.142	0.067	0.00344478576671454	"3"	"SCYL1"
"UBE2D2.2"	9.50158356149251e-08	-11.829948736864	0.517	0.391	0.00347767459934187	"3"	"UBE2D2"
"PDCD10.1"	9.53829486936773e-08	1.17495305959348	0.159	0.08	0.00349111130513728	"3"	"PDCD10"
"PRKRIP1.2"	9.5873998189769e-08	2.72866839953527	0.635	0.512	0.00350908420774374	"3"	"PRKRIP1"
"LRRC40.1"	9.60983906635378e-08	0.298989825801907	0.263	0.161	0.00351729719667615	"3"	"LRRC40"
"NEK1.2"	9.61616899906984e-08	-5.57623501770137	0.46	0.337	0.00351961401534955	"3"	"NEK1"
"NEK4.2"	9.71592289228011e-08	0.294479538105518	0.27	0.163	0.00355612493780344	"3"	"NEK4"
"ME3.2"	9.93848265287064e-08	-3.30713041407921	0.318	0.205	0.00363758403577718	"3"	"ME3"
"PAX6.1"	9.96127432607748e-08	-11.229545256189	0.457	0.321	0.00364592601608762	"3"	"PAX6"
"AP4S1.2"	1.00018410501972e-07	1.87550233739516	0.386	0.268	0.00366077384278267	"3"	"AP4S1"
"RBBP4.1"	1.00144501827722e-07	1.62021770538327	0.448	0.333	0.00366538891139647	"3"	"RBBP4"
"TNPO3.1"	1.00153950411274e-07	-2.5906152332883	0.386	0.27	0.00366573473900302	"3"	"TNPO3"
"RAB40C"	1.01171593388934e-07	0.352335858147887	0.391	0.266	0.00370298148962836	"3"	"RAB40C"
"SREBF2.2"	1.01856263106515e-07	-18.5216107733645	0.557	0.429	0.00372804108596154	"3"	"SREBF2"
"ADNP.1"	1.01994183499381e-07	-3.08333433398347	0.462	0.332	0.00373308911026084	"3"	"ADNP"
"SPTBN2"	1.02955179986021e-07	0.477912706667305	0.403	0.282	0.00376826254266834	"3"	"SPTBN2"
"CCDC82.1"	1.03362600917466e-07	-3.40650085997816	0.351	0.234	0.00378317455618017	"3"	"CCDC82"
"ACVR1.2"	1.03400234808628e-07	1.10711503426351	0.19	0.103	0.00378455199423059	"3"	"ACVR1"
"SEPTIN2.2"	1.04357440149924e-07	-3.75571116809918	0.46	0.334	0.00381958666692737	"3"	"SEPTIN2"
"HPS5.1"	1.06129871536179e-07	0.386449884688799	0.175	0.092	0.00388445942809567	"3"	"HPS5"
"NETO2.2"	1.06593005359507e-07	-2.4472626118668	0.27	0.165	0.0039014105891633	"3"	"NETO2"
"MAP3K13.1"	1.07152936034802e-07	-5.14300353275848	0.273	0.169	0.00392190461180978	"3"	"MAP3K13"
"SAMD4A.3"	1.07885467725825e-07	-11.8124267562548	0.363	0.248	0.00394871600423291	"3"	"SAMD4A"
"NDUFA5.1"	1.08761846911701e-07	0.268263523498815	0.166	0.084	0.00398079235881516	"3"	"NDUFA5"
"TRAPPC10.2"	1.10100051948988e-07	0.579310395867921	0.353	0.238	0.0040297720013849	"3"	"TRAPPC10"
"CAMSAP1.2"	1.10360841276231e-07	-0.737323634664119	0.427	0.297	0.00403931715155133	"3"	"CAMSAP1"
"ABHD13"	1.10893580166154e-07	0.271752167341313	0.107	0.044	0.00405881592766141	"3"	"ABHD13"
"SCAI.1"	1.10923584368544e-07	-2.64495519909484	0.493	0.373	0.00405991411147308	"3"	"SCAI"
"SCAMP5.1"	1.11470848278347e-07	-0.411025055251357	0.462	0.34	0.00407994451783577	"3"	"SCAMP5"
"NFYC.1"	1.12311994917345e-07	0.83399950234749	0.289	0.183	0.00411073132596974	"3"	"NFYC"
"COLGALT2.1"	1.13445709493642e-07	2.36624696046896	0.306	0.195	0.00415222641317679	"3"	"COLGALT2"
"KDM3B.2"	1.13892200803781e-07	0.45687314093212	0.481	0.371	0.00416856844161919	"3"	"KDM3B"
"KLHDC2.1"	1.14676969535875e-07	1.29709016482016	0.235	0.137	0.00419729176198254	"3"	"KLHDC2"
"TMEM242"	1.16625017645826e-07	0.254968821135124	0.149	0.073	0.00426859227085489	"3"	"TMEM242"
"MKNK2"	1.1671289876124e-07	0.354473786069711	0.258	0.156	0.00427180880756015	"3"	"MKNK2"
"FXR1.2"	1.17160738732506e-07	-39.8942863468972	0.379	0.259	0.00428820019834847	"3"	"FXR1"
"COG5.2"	1.19057858553359e-07	-7.74808316920655	0.396	0.281	0.00435763668091148	"3"	"COG5"
"C11orf54.1"	1.21984522609898e-07	0.326275248155744	0.201	0.111	0.00446475551204489	"3"	"C11orf54"
"MSL1.1"	1.22941232028977e-07	0.459895878338343	0.263	0.161	0.00449977203349258	"3"	"MSL1"
"SSH1.1"	1.25574025056658e-07	0.762888238903198	0.46	0.342	0.00459613489109873	"3"	"SSH1"
"WDR17.2"	1.28159925268529e-07	-6.38373259300339	0.332	0.223	0.00469078142475342	"3"	"WDR17"
"TFAP2E"	1.28170482511489e-07	0.569430548209398	0.353	0.235	0.00469116783040301	"3"	"TFAP2E"
"BDP1.2"	1.28406606365287e-07	-2.46975807555833	0.668	0.545	0.00469981019957586	"3"	"BDP1"
"PTPN18"	1.29307028791457e-07	0.335333542467419	0.235	0.136	0.0047327665607961	"3"	"PTPN18"
"AC005064.1"	1.31453048092537e-07	0.709059185406039	0.116	0.051	0.00481131301323495	"3"	"AC005064.1"
"MTMR2.2"	1.35629116395745e-07	1.97634025097353	0.265	0.166	0.00496416128920066	"3"	"MTMR2"
"LPCAT4"	1.35922540168775e-07	0.506309116217035	0.27	0.165	0.00497490089271733	"3"	"LPCAT4"
"NEK9.1"	1.37096298076082e-07	0.442265233951713	0.301	0.194	0.00501786160588267	"3"	"NEK9"
"ATP13A2"	1.37802171167489e-07	0.378996612069719	0.232	0.137	0.00504369726690126	"3"	"ATP13A2"
"RNLS.2"	1.39907188925578e-07	-7.36955752226294	0.27	0.173	0.00512074302186507	"3"	"RNLS"
"PRKDC.2"	1.40715012215346e-07	-1.19781310615057	0.474	0.354	0.00515031016209386	"3"	"PRKDC"
"ZNF30"	1.41298293353074e-07	1.0591371304832	0.201	0.112	0.00517165883501585	"3"	"ZNF30"
"HADHA.1"	1.42234024027315e-07	0.650637162836071	0.299	0.194	0.00520590751342374	"3"	"HADHA"
"WDSUB1.1"	1.42670938507742e-07	0.710383254279242	0.258	0.16	0.00522189902032188	"3"	"WDSUB1"
"UBXN7.1"	1.43077325450848e-07	-2.08973402580734	0.443	0.321	0.00523677318882649	"3"	"UBXN7"
"TBCA.2"	1.43857546136192e-07	-0.939789794398955	0.268	0.165	0.00526533004613078	"3"	"TBCA"
"ZC3H13.2"	1.45252633783645e-07	3.5606160624254	0.384	0.271	0.00531639164911517	"3"	"ZC3H13"
"DCUN1D4.1"	1.47579947865255e-07	4.44540139775137	0.249	0.152	0.00540157367181621	"3"	"DCUN1D4"
"ZBTB16.2"	1.50300537809095e-07	-3.74820035573346	0.476	0.358	0.00550114998435068	"3"	"ZBTB16"
"XIAP.2"	1.51303537944666e-07	0.789976739791262	0.28	0.178	0.0055378607923127	"3"	"XIAP"
"RSU1.1"	1.51330188457208e-07	0.282749201381092	0.289	0.184	0.00553883622772229	"3"	"RSU1"
"FEZ2.1"	1.5230383767074e-07	0.538211420135286	0.206	0.118	0.00557447276258676	"3"	"FEZ2"
"COPS3.1"	1.57732390578774e-07	0.370556124393088	0.173	0.09	0.00577316322757371	"3"	"COPS3"
"ARVCF"	1.60315219251421e-07	0.264566484694881	0.336	0.222	0.00586769733982125	"3"	"ARVCF"
"ADAM11.2"	1.60544855052781e-07	-0.562879465338642	0.441	0.316	0.00587610223978683	"3"	"ADAM11"
"PLPP1.1"	1.62059640263476e-07	-6.08010472592498	0.306	0.197	0.0059315448932835	"3"	"PLPP1"
"MAP4K4.3"	1.65043805672887e-07	-36.5832600208493	0.528	0.388	0.00604076833143334	"3"	"MAP4K4"
"CEP57.2"	1.6573048481852e-07	0.857577536550503	0.334	0.225	0.00606590147484265	"3"	"CEP57"
"SLC22A15.2"	1.65903629463517e-07	-3.79284172732157	0.37	0.247	0.00607223874199419	"3"	"SLC22A15"
"GTPBP8"	1.68420699121267e-07	0.318778600478583	0.111	0.048	0.00616436600853751	"3"	"GTPBP8"
"BIVM.1"	1.71163391723256e-07	0.431226125747449	0.284	0.178	0.00626475130046288	"3"	"BIVM"
"ZNF226.1"	1.72145713385839e-07	0.726064251102549	0.22	0.129	0.00630070525563509	"3"	"ZNF226"
"PSMA3.1"	1.7251709077122e-07	0.316278032853243	0.18	0.097	0.0063142980393174	"3"	"PSMA3"
"AGO4.2"	1.76221689298854e-07	0.403946403338441	0.412	0.294	0.00644989005002734	"3"	"AGO4"
"FOXK2.2"	1.76226577661531e-07	0.668658743507727	0.531	0.406	0.00645006896898968	"3"	"FOXK2"
"SCN1A.1"	1.76571792751421e-07	-18.7552270503803	0.047	0.137	0.00646270418649477	"3"	"SCN1A"
"AMY2B.1"	1.77408899899415e-07	0.640949086650851	0.206	0.117	0.00649334314521849	"3"	"AMY2B"
"MIRLET7BHG.2"	1.78313941163717e-07	-11.2260126365672	0.54	0.409	0.00652646856053322	"3"	"MIRLET7BHG"
"MTFMT"	1.82623950018497e-07	0.370109577516509	0.275	0.172	0.00668421919462701	"3"	"MTFMT"
"MORF4L2.2"	1.83472802015569e-07	-2.61520391618937	0.254	0.151	0.00671528802657183	"3"	"MORF4L2"
"AC005225.2"	1.83591147426474e-07	0.528686887068738	0.384	0.28	0.00671961958695638	"3"	"AC005225.2"
"CDK17.2"	1.84637823574645e-07	-3.1140871196159	0.445	0.331	0.00675792898065559	"3"	"CDK17"
"RAB26.1"	1.84981932440128e-07	0.305493566957904	0.303	0.197	0.00677052370924113	"3"	"RAB26"
"CNBP.2"	1.87814411761426e-07	0.319013668060418	0.291	0.185	0.00687419528487997	"3"	"CNBP"
"DIS3.2"	1.89328568297045e-07	0.724530840432124	0.291	0.188	0.00692961492824016	"3"	"DIS3"
"TEX2"	1.89945558248356e-07	0.94822881590547	0.265	0.167	0.00695219737744807	"3"	"TEX2"
"WDR41.2"	1.92343058108923e-07	0.819191376791333	0.204	0.114	0.00703994826984469	"3"	"WDR41"
"LINC02054"	1.94331292762565e-07	1.17416957772792	0.18	0.096	0.00711271964640263	"3"	"LINC02054"
"LIPE-AS1"	1.94397321533704e-07	5.16867587477697	0.436	0.33	0.0071151363654551	"3"	"LIPE-AS1"
"MYO18A.1"	1.94892951962472e-07	0.789312167609121	0.422	0.305	0.00713327693477845	"3"	"MYO18A"
"PYGB.1"	1.9617371839278e-07	0.28214874647784	0.422	0.298	0.00718015426689415	"3"	"PYGB"
